team_name,wins,team_xwoba,team_xwoba_against,team_xwoba_diff,close_win_pct,run_differential
ARI_2021,52,0.294,0.333,-0.039,0.244,-1.3
ATL_2021,88,0.332,0.312,0.02,0.456,0.8
BAL_2021,52,0.305,0.348,-0.043,0.351,-1.8
BOS_2021,92,0.335,0.312,0.023,0.591,0.5
CHC_2021,71,0.304,0.332,-0.028,0.471,-0.8
CHW_2021,93,0.325,0.295,0.03,0.429,1
CIN_2021,83,0.325,0.307,0.018,0.545,0.2
CLE_2021,80,0.311,0.323,-0.012,0.436,-0.1
COL_2021,74,0.306,0.321,-0.015,0.49,-0.4
DET_2021,77,0.308,0.334,-0.026,0.5,-0.4
HOU_2021,95,0.336,0.309,0.027,0.525,1.3
KCR_2021,74,0.311,0.339,-0.028,0.525,-0.6
LAA_2021,77,0.311,0.315,-0.004,0.641,-0.5
LAD_2021,106,0.329,0.281,0.048,0.5,1.7
MIA_2021,67,0.29,0.312,-0.022,0.42,-0.5
MIL_2021,95,0.31,0.292,0.018,0.583,0.7
MIN_2021,73,0.335,0.332,0.003,0.568,-0.6
NYM_2021,77,0.31,0.31,0,0.47,-0.2
NYY_2021,92,0.33,0.297,0.033,0.583,0.4
OAK_2021,86,0.326,0.316,0.01,0.46,0.4
PHI_2021,82,0.314,0.3,0.014,0.545,-0.1
PIT_2021,61,0.299,0.332,-0.033,0.476,-1.4
SDP_2021,79,0.318,0.317,0.001,0.447,0.2
SEA_2021,90,0.308,0.32,-0.012,0.635,-0.3
SFG_2021,107,0.324,0.297,0.027,0.646,1.3
STL_2021,90,0.32,0.327,-0.00700000000000001,0.578,0.2
TBR_2021,100,0.314,0.306,0.00800000000000001,0.444,1.3
TEX_2021,60,0.297,0.33,-0.033,0.462,-1.2
TOR_2021,91,0.339,0.311,0.028,0.5,1.1
WAS_2021,65,0.328,0.33,-0.002,0.458,-0.6
ARI_2019,85,0.317,0.328,-0.011,,
ATL_2019,97,0.337,0.321,0.016,,
BAL_2019,54,0.306,0.346,-0.04,,
BOS_2019,84,0.337,0.315,0.022,,
CHC_2019,84,0.325,0.32,0.005,,
CHW_2019,72,0.305,0.331,-0.026,,
CIN_2019,75,0.307,0.299,0.00800000000000001,,
CLE_2019,93,0.316,0.308,0.00800000000000001,,
COL_2019,71,0.307,0.346,-0.039,,
DET_2019,47,0.295,0.336,-0.041,,
HOU_2019,107,0.338,0.285,0.0530000000000001,,
KCR_2019,59,0.303,0.342,-0.039,,
LAA_2019,72,0.324,0.331,-0.00700000000000001,,
LAD_2019,106,0.335,0.282,0.0530000000000001,,
MIA_2019,57,0.296,0.323,-0.027,,
MIL_2019,89,0.324,0.314,0.01,,
MIN_2019,101,0.346,0.314,0.032,,
NYM_2019,86,0.323,0.3,0.023,,
NYY_2019,103,0.338,0.309,0.029,,
OAK_2019,97,0.337,0.314,0.023,,
PHI_2019,81,0.315,0.327,-0.012,,
PIT_2019,69,0.312,0.326,-0.014,,
SDP_2019,70,0.299,0.311,-0.012,,
SEA_2019,68,0.308,0.334,-0.026,,
SFG_2019,77,0.306,0.326,-0.02,,
STL_2019,91,0.32,0.313,0.00700000000000001,,
TBR_2019,96,0.327,0.288,0.039,,
TEX_2019,78,0.319,0.334,-0.015,,
TOR_2019,67,0.313,0.331,-0.018,,
WAS_2019,93,0.336,0.314,0.022,,
ARI_2018,82,0.309,0.315,-0.00600000000000001,,
ATL_2018,90,0.31,0.308,0.002,,
BAL_2018,47,0.299,0.337,-0.038,,
BOS_2018,108,0.34,0.302,0.038,,
CHC_2018,95,0.315,0.317,-0.002,,
CHW_2018,62,0.298,0.333,-0.035,,
CIN_2018,67,0.312,0.325,-0.013,,
CLE_2018,91,0.333,0.298,0.035,,
COL_2018,91,0.309,0.303,0.00600000000000001,,
DET_2018,64,0.302,0.323,-0.021,,
HOU_2018,103,0.315,0.277,0.038,,
KCR_2018,58,0.312,0.338,-0.026,,
LAA_2018,80,0.318,0.321,-0.003,,
LAD_2018,92,0.328,0.284,0.044,,
MIA_2018,63,0.295,0.325,-0.03,,
MIL_2018,96,0.317,0.308,0.00900000000000001,,
MIN_2018,78,0.306,0.324,-0.018,,
NYM_2018,77,0.301,0.297,0.004,,
NYY_2018,100,0.332,0.299,0.033,,
OAK_2018,97,0.331,0.317,0.014,,
PHI_2018,80,0.302,0.296,0.00600000000000001,,
PIT_2018,82,0.311,0.314,-0.003,,
SDP_2018,66,0.288,0.315,-0.027,,
SEA_2018,89,0.323,0.318,0.005,,
SFG_2018,73,0.292,0.316,-0.024,,
STL_2018,88,0.32,0.311,0.00900000000000001,,
TBR_2018,90,0.309,0.301,0.00800000000000001,,
TEX_2018,67,0.311,0.337,-0.026,,
TOR_2018,73,0.325,0.32,0.005,,
WAS_2018,82,0.325,0.309,0.016,,
